# x_c f_c(xc) f_c_ohne(xc)
0.2224 9.83477e-07 9.7537e-07
0.2228 9.68575e-07 9.75282e-07
0.2232 9.83477e-07 9.75194e-07
0.2236 9.68575e-07 9.75105e-07
0.224 9.68575e-07 9.75016e-07
0.2244 9.68575e-07 9.74927e-07
0.2248 9.68575e-07 9.74838e-07
0.2252 9.68575e-07 9.74749e-07
0.2256 9.68575e-07 9.7466e-07
0.226 9.83477e-07 9.7457e-07
0.2264 9.68575e-07 9.7448e-07
0.2268 9.83477e-07 9.7439e-07
0.2272 9.68575e-07 9.743e-07
0.2276 9.68575e-07 9.7421e-07
0.228 9.68575e-07 9.7412e-07
0.2284 9.68575e-07 9.74029e-07
0.2288 9.68575e-07 9.73939e-07
0.2292 9.68575e-07 9.73848e-07
0.2296 9.68575e-07 9.73757e-07
0.23 9.68575e-07 9.73666e-07
0.2304 9.68575e-07 9.73575e-07
0.2308 9.83477e-07 9.73483e-07
0.2312 9.83477e-07 9.73392e-07
0.2316 9.68575e-07 9.733e-07
0.232 9.68575e-07 9.73208e-07
0.2324 9.83477e-07 9.73116e-07
0.2328 9.83477e-07 9.73024e-07
0.2332 9.68575e-07 9.72931e-07
0.2336 9.68575e-07 9.72839e-07
0.234 9.68575e-07 9.72746e-07
0.2344 9.68575e-07 9.72653e-07
0.2348 9.68575e-07 9.7256e-07
0.2352 9.68575e-07 9.72467e-07
0.2356 9.68575e-07 9.72374e-07
0.236 9.68575e-07 9.72281e-07
0.2364 9.68575e-07 9.72187e-07
0.2368 9.83477e-07 9.72093e-07
0.2372 9.68575e-07 9.71999e-07
0.2376 9.68575e-07 9.71905e-07
0.238 9.68575e-07 9.71811e-07
0.2384 9.68575e-07 9.71717e-07
0.2388 9.68575e-07 9.71622e-07
0.2392 9.68575e-07 9.71527e-07
0.2396 9.68575e-07 9.71432e-07
0.24 9.83477e-07 9.71337e-07
0.2404 9.68575e-07 9.71242e-07
0.2408 9.68575e-07 9.71147e-07
0.2412 9.68575e-07 9.71051e-07
0.2416 9.68575e-07 9.70956e-07
0.242 9.68575e-07 9.7086e-07
0.2424 9.68575e-07 9.70764e-07
0.2428 9.68575e-07 9.70668e-07
0.2432 9.68575e-07 9.70572e-07
0.2436 9.68575e-07 9.70475e-07
0.244 9.68575e-07 9.70379e-07
0.2444 9.68575e-07 9.70282e-07
0.2448 9.68575e-07 9.70185e-07
0.2452 9.68575e-07 9.70088e-07
0.2456 9.68575e-07 9.69991e-07
0.246 9.68575e-07 9.69894e-07
0.2464 9.68575e-07 9.69796e-07
0.2468 9.68575e-07 9.69699e-07
0.2472 9.68575e-07 9.69601e-07
0.2476 9.68575e-07 9.69503e-07
0.248 9.68575e-07 9.69405e-07
0.2484 9.53674e-07 9.69306e-07
0.2488 9.68575e-07 9.69208e-07
0.2492 9.68575e-07 9.69109e-07
0.2496 9.68575e-07 9.69011e-07
0.25 9.68575e-07 9.68912e-07
0.2504 9.83477e-07 9.68813e-07
0.2508 9.83477e-07 9.68714e-07
0.2512 9.83477e-07 9.68614e-07
0.2516 9.83477e-07 9.68515e-07
0.252 9.83477e-07 9.68415e-07
0.2524 9.83477e-07 9.68315e-07
0.2528 9.83477e-07 9.68215e-07
0.2532 9.53674e-07 9.68115e-07
0.2536 9.83477e-07 9.68015e-07
0.254 9.83477e-07 9.67915e-07
0.2544 9.53674e-07 9.67814e-07
0.2548 9.83477e-07 9.67713e-07
0.2552 9.83477e-07 9.67612e-07
0.2556 9.83477e-07 9.67511e-07
0.256 9.83477e-07 9.6741e-07
0.2564 9.83477e-07 9.67309e-07
0.2568 9.83477e-07 9.67207e-07
0.2572 9.83477e-07 9.67105e-07
0.2576 9.83477e-07 9.67004e-07
0.258 9.53674e-07 9.66902e-07
0.2584 9.83477e-07 9.66799e-07
