# x_b f_b(xb) f_b_ohne(xb)
0.000121241 0 6.06202e-05
0.00012144 0 6.07197e-05
0.000121639 0 6.08192e-05
0.000121838 0 6.09187e-05
0.000122037 0 6.10182e-05
0.000122236 0 6.11177e-05
0.000122435 0 6.12172e-05
0.000122634 0 6.13167e-05
0.000122833 0 6.14162e-05
0.000123032 0 6.15157e-05
0.000123231 0 6.16152e-05
0.00012343 0 6.17147e-05
0.000123629 0 6.18142e-05
0.000123828 0 6.19137e-05
0.000124027 0 6.20132e-05
0.000124226 0 6.21127e-05
0.000124425 0 6.22122e-05
0.000124624 0 6.23117e-05
0.000124823 0 6.24111e-05
0.000125022 0 6.25106e-05
0.000125221 0 6.26101e-05
0.00012542 0 6.27096e-05
0.000125619 0 6.28091e-05
0.000125818 0 6.29086e-05
0.000126017 0 6.30081e-05
0.000126216 0 6.31076e-05
0.000126415 0 6.32071e-05
0.000126614 0 6.33066e-05
0.000126813 0 6.34061e-05
0.000127012 0 6.35056e-05
0.000127211 0 6.36051e-05
0.00012741 0 6.37046e-05
0.000127609 0 6.38041e-05
0.000127808 0 6.39036e-05
0.000128007 0 6.40031e-05
0.000128206 0 6.41026e-05
0.000128405 0 6.42021e-05
0.000128604 0 6.43016e-05
0.000128803 0 6.44011e-05
0.000129002 0 6.45006e-05
0.000129201 0 6.46001e-05
0.0001294 0 6.46996e-05
0.000129599 0 6.47991e-05
0.000129798 0 6.48986e-05
0.000129997 0 6.49981e-05
0.000130196 0 6.50976e-05
0.000130395 0 6.51971e-05
0.000130594 0 6.52966e-05
0.000130793 0 6.53961e-05
0.000130992 0 6.54956e-05
0.000131191 0 6.55951e-05
0.00013139 0 6.56946e-05
0.000131589 0 6.57941e-05
0.000131788 0 6.58936e-05
0.000131987 0 6.59931e-05
0.000132186 0 6.60926e-05
0.000132385 0 6.61921e-05
0.000132584 0 6.62916e-05
0.000132783 0 6.63911e-05
0.000132982 0 6.64906e-05
0.000133181 0 6.65901e-05
0.00013338 0 6.66896e-05
0.000133579 0 6.67891e-05
0.000133778 0 6.68886e-05
0.000133977 0 6.69881e-05
0.000134176 0 6.70876e-05
0.000134375 0 6.71871e-05
0.000134574 0 6.72866e-05
0.000134773 0 6.73861e-05
0.000134972 0 6.74856e-05
0.000135171 0 6.75851e-05
0.00013537 0 6.76846e-05
0.000135569 0 6.77841e-05
0.000135768 0 6.78836e-05
0.000135967 0 6.79831e-05
0.000136166 0 6.80826e-05
0.000136365 0 6.81821e-05
0.000136564 0 6.82816e-05
0.000136763 0 6.83811e-05
0.000136962 0 6.84806e-05
0.000137161 0 6.85801e-05
0.00013736 0 6.86796e-05
0.000137559 0 6.87791e-05
0.000137758 0 6.88786e-05
0.000137957 0 6.89781e-05
0.000138156 0 6.90776e-05
0.000138355 0 6.91771e-05
0.000138554 0 6.92766e-05
0.000138753 0 6.93761e-05
0.000138952 0 6.94756e-05
0.000139151 0 6.95751e-05
0.00013935 0 6.96746e-05
0.000139549 0 6.97741e-05
0.000139748 0 6.98736e-05
0.000139947 0 6.99731e-05
0.000140146 0 7.00726e-05
0.000140345 0 7.0172e-05
0.000140544 0 7.02715e-05
0.000140743 0 7.0371e-05
0.000140942 0 7.04705e-05
0.000141141 0 7.057e-05
0.00014134 0 7.06695e-05
0.000141539 0 7.0769e-05
0.000141738 0 7.08685e-05
0.000141937 0 7.0968e-05
0.000142136 0 7.10675e-05
0.000142335 0 7.1167e-05
0.000142534 0 7.12665e-05
0.000142733 0 7.1366e-05
0.000142932 0 7.14655e-05
0.000143131 0 7.1565e-05
0.00014333 0 7.16645e-05
0.000143529 0 7.1764e-05
0.000143728 0 7.18635e-05
0.000143927 0 7.1963e-05
0.000144126 0 7.20625e-05
0.000144325 0 7.2162e-05
0.000144524 0 7.22615e-05
0.000144723 0 7.2361e-05
0.000144922 0 7.24605e-05
0.000145121 0 7.256e-05
0.00014532 0 7.26595e-05
0.000145519 0 7.2759e-05
0.000145718 0 7.28585e-05
0.000145917 0 7.2958e-05
0.000146116 0 7.30575e-05
0.000146315 0 7.3157e-05
0.000146514 0 7.32565e-05
0.000146713 0 7.3356e-05
0.000146912 0 7.34555e-05
0.000147111 0 7.3555e-05
0.00014731 0 7.36545e-05
0.000147509 0 7.3754e-05
0.000147708 0 7.38535e-05
0.000147907 0 7.3953e-05
0.000148106 0 7.40525e-05
0.000148305 0 7.4152e-05
0.000148504 0 7.42515e-05
0.000148703 0 7.4351e-05
0.000148902 0 7.44505e-05
0.000149101 0 7.455e-05
0.0001493 0 7.46495e-05
0.000149499 0 7.4749e-05
0.000149698 0 7.48485e-05
0.000149897 0 7.4948e-05
0.000150096 0 7.50475e-05
0.000150295 0 7.5147e-05
0.000150494 0 7.52465e-05
0.000150693 0 7.5346e-05
0.000150892 0 7.54455e-05
0.000151091 0 7.5545e-05
0.00015129 0 7.56445e-05
0.000151489 0 7.5744e-05
0.000151688 0 7.58435e-05
0.000151887 0 7.5943e-05
0.000152086 0 7.60425e-05
0.000152285 0 7.6142e-05
0.000152484 0 7.62415e-05
0.000152683 0 7.6341e-05
0.000152882 0 7.64405e-05
0.000153081 0 7.654e-05
0.00015328 0 7.66395e-05
0.000153479 0 7.6739e-05
0.000153678 0 7.68385e-05
0.000153877 0 7.6938e-05
0.000154076 0 7.70375e-05
0.000154275 0 7.7137e-05
0.000154474 0 7.72365e-05
0.000154673 0 7.7336e-05
0.000154872 0 7.74355e-05
0.000155071 0 7.7535e-05
0.00015527 0 7.76345e-05
0.000155469 0 7.7734e-05
0.000155668 0 7.78335e-05
0.000155867 0 7.79329e-05
0.000156066 0 7.80324e-05
0.000156265 0 7.81319e-05
0.000156464 0 7.82314e-05
0.000156663 0 7.83309e-05
0.000156862 0 7.84304e-05
0.000157061 0 7.85299e-05
0.00015726 0 7.86294e-05
0.000157459 0 7.87289e-05
0.000157658 0 7.88284e-05
